Date,Clicks,Impressions,CTR,Position
2025-01-31,10,230,4.35%,30.4
2025-02-01,1,193,0.52%,36.8
2025-02-02,6,301,1.99%,31.1
2025-02-03,2,401,0.5%,26.2
2025-02-04,2,249,0.8%,30.2
2025-02-05,8,272,2.94%,28.4
2025-02-06,5,264,1.89%,25.7
2025-02-07,2,237,0.84%,33.5
2025-02-08,8,225,3.56%,34.2
2025-02-09,5,199,2.51%,32.6
2025-02-10,4,282,1.42%,32.6
2025-02-11,5,247,2.02%,24.7
2025-02-12,3,243,1.23%,29
2025-02-13,5,385,1.3%,22.7
2025-02-14,7,238,2.94%,28.4
2025-02-15,3,246,1.22%,32.3
2025-02-16,4,261,1.53%,25.4
2025-02-17,5,331,1.51%,30.5
2025-02-18,3,276,1.09%,27.8
2025-02-19,8,271,2.95%,27
2025-02-20,6,270,2.22%,29.3
2025-02-21,4,449,0.89%,24.2
2025-02-22,6,236,2.54%,30.2
2025-02-23,8,254,3.15%,30.4
2025-02-24,8,496,1.61%,33.6
2025-02-25,6,270,2.22%,24.9
2025-02-26,9,258,3.49%,29.6
2025-02-27,7,310,2.26%,30.5
2025-02-28,3,426,0.7%,23.7
2025-03-01,6,239,2.51%,31.4
2025-03-02,7,367,1.91%,30.4
2025-03-03,9,433,2.08%,24.8
2025-03-04,3,384,0.78%,24.2
2025-03-05,6,276,2.17%,24.4
2025-03-06,4,238,1.68%,25.2
2025-03-07,7,202,3.47%,27
2025-03-08,4,249,1.61%,26.2
2025-03-09,12,273,4.4%,25.3
2025-03-10,7,500,1.4%,23.4
2025-03-11,9,333,2.7%,22.9
2025-03-12,10,269,3.72%,23.9
2025-03-13,10,262,3.82%,24.4
2025-03-14,14,305,4.59%,22.4
2025-03-15,5,223,2.24%,22.7
2025-03-16,18,204,8.82%,22.5
2025-03-17,19,367,5.18%,21.1
2025-03-18,15,300,5%,20
2025-03-19,14,276,5.07%,19.9
2025-03-20,21,360,5.83%,26.5
2025-03-21,10,263,3.8%,23.6
2025-03-22,8,419,1.91%,23
2025-03-23,4,281,1.42%,24.6
2025-03-24,9,341,2.64%,25
2025-03-25,11,302,3.64%,18.8
2025-03-26,23,374,6.15%,18.6
2025-03-27,15,347,4.32%,18.1
2025-03-28,24,376,6.38%,21
2025-03-29,16,455,3.52%,21.4
2025-03-30,10,303,3.3%,21.7
2025-03-31,25,516,4.84%,27.1
2025-04-01,27,549,4.92%,24.1
2025-04-02,18,576,3.12%,22.8
2025-04-03,13,318,4.09%,19.1
2025-04-04,22,338,6.51%,22.1
2025-04-05,12,248,4.84%,18.7
2025-04-06,10,278,3.6%,22
2025-04-07,13,440,2.95%,23.4
2025-04-08,16,497,3.22%,21.5
2025-04-09,12,395,3.04%,19.1
2025-04-10,9,350,2.57%,22.4
2025-04-11,10,319,3.13%,22.8
2025-04-12,15,242,6.2%,24.7
2025-04-13,11,319,3.45%,23.9
2025-04-14,8,338,2.37%,22.9
2025-04-15,5,594,0.84%,20.1
2025-04-16,17,482,3.53%,21
2025-04-17,4,267,1.5%,20.7
2025-04-18,8,276,2.9%,24.6
2025-04-19,4,311,1.29%,25.7
2025-04-20,8,325,2.46%,25.1
2025-04-21,9,736,1.22%,23.1
2025-04-22,24,404,5.94%,22.1
2025-04-23,13,323,4.02%,23.6
2025-04-24,7,472,1.48%,25.6
2025-04-25,13,435,2.99%,23.6
2025-04-26,3,315,0.95%,24.1
2025-04-27,7,413,1.69%,25
2025-04-28,7,480,1.46%,26.9
2025-04-29,15,434,3.46%,17.2
2025-04-30,9,546,1.65%,20.5
2025-05-01,5,487,1.03%,28.4
2025-05-02,10,340,2.94%,22.4
2025-05-03,9,357,2.52%,22.3
2025-05-04,3,399,0.75%,22.5
2025-05-05,4,411,0.97%,23.1
2025-05-06,7,438,1.6%,22.5
2025-05-07,8,563,1.42%,23.3
2025-05-08,11,383,2.87%,19.1
2025-05-09,17,406,4.19%,20.4
2025-05-10,3,357,0.84%,23.1
2025-05-11,6,370,1.62%,21
2025-05-12,14,432,3.24%,20.1
2025-05-13,6,675,0.89%,21.5
2025-05-14,9,383,2.35%,21.4
2025-05-15,5,361,1.39%,22.1
2025-05-16,9,357,2.52%,24.5
2025-05-17,9,323,2.79%,25.9
2025-05-18,7,381,1.84%,22.2
2025-05-19,10,473,2.11%,24.5
2025-05-20,14,385,3.64%,23.2
2025-05-21,8,656,1.22%,23.3
2025-05-22,11,464,2.37%,20.6
2025-05-23,14,368,3.8%,22.2
2025-05-24,6,324,1.85%,25.5
2025-05-25,9,452,1.99%,23.2
2025-05-26,9,480,1.88%,26.3
2025-05-27,11,575,1.91%,22.1
2025-05-28,8,355,2.25%,22.7
2025-05-29,14,618,2.27%,24.1
2025-05-30,9,352,2.56%,23.2
2025-05-31,5,384,1.3%,24.2
2025-06-01,8,469,1.71%,30.4
2025-06-02,9,360,2.5%,22.3
2025-06-03,13,474,2.74%,23.4
2025-06-04,6,367,1.63%,23.4
2025-06-05,9,567,1.59%,23
2025-06-06,7,399,1.75%,23.4
2025-06-07,5,347,1.44%,24.7
2025-06-08,10,440,2.27%,17.5
2025-06-09,11,437,2.52%,22.4
2025-06-10,7,352,1.99%,23.4
2025-06-11,6,545,1.1%,25.6
2025-06-12,7,367,1.91%,23.2
2025-06-13,5,424,1.18%,23.6
2025-06-14,4,352,1.14%,25.8
2025-06-15,4,386,1.04%,25.6
2025-06-16,4,436,0.92%,24.6
2025-06-17,10,450,2.22%,24.3
2025-06-18,9,642,1.4%,22.7
2025-06-19,8,486,1.65%,27
2025-06-20,4,414,0.97%,27
2025-06-21,8,387,2.07%,26.6
2025-06-22,12,470,2.55%,25.6
2025-06-23,7,508,1.38%,28.8
2025-06-24,11,501,2.2%,27.2
2025-06-25,8,615,1.3%,23.2
2025-06-26,10,488,2.05%,25.2
2025-06-27,11,430,2.56%,26.1
2025-06-28,0,394,0%,27.3
2025-06-29,9,427,2.11%,26.9
2025-06-30,8,624,1.28%,30.2
2025-07-01,11,468,2.35%,27.3
2025-07-02,10,694,1.44%,26.5
2025-07-03,11,622,1.77%,26
2025-07-04,4,531,0.75%,32.7
2025-07-05,5,481,1.04%,29.5
2025-07-06,15,561,2.67%,29.8
2025-07-07,5,558,0.9%,28.9
2025-07-08,14,624,2.24%,26.7
2025-07-09,9,692,1.3%,24.7
2025-07-10,6,829,0.72%,22.6
2025-07-11,12,777,1.54%,24.2
2025-07-12,16,658,2.43%,28
2025-07-13,10,602,1.66%,26.4
2025-07-14,18,771,2.33%,24.6
2025-07-15,13,698,1.86%,28.1
2025-07-16,8,671,1.19%,25.5
2025-07-17,17,835,2.04%,25.3
2025-07-18,15,626,2.4%,27.6
2025-07-19,7,583,1.2%,28.6
2025-07-20,5,623,0.8%,29.5
2025-07-21,7,726,0.96%,26.5
2025-07-22,10,658,1.52%,27.3
2025-07-23,15,666,2.25%,26.3
2025-07-24,14,736,1.9%,24.8
2025-07-25,7,762,0.92%,24.7
2025-07-26,10,616,1.62%,26.2
2025-07-27,7,779,0.9%,25.8
2025-07-28,13,698,1.86%,23
2025-07-29,15,581,2.58%,22.9
2025-07-30,8,664,1.2%,23.9
2025-07-31,10,581,1.72%,26.7
2025-08-01,9,891,1.01%,21.9
2025-08-02,3,607,0.49%,26.4
2025-08-03,19,763,2.49%,23.6
2025-08-04,20,869,2.3%,25.3
2025-08-05,9,706,1.27%,23.3
2025-08-06,10,568,1.76%,20.8
2025-08-07,8,663,1.21%,21.5
2025-08-08,11,587,1.87%,22.9
2025-08-09,10,553,1.81%,26
2025-08-10,7,617,1.13%,23.2
2025-08-11,10,730,1.37%,23.6
2025-08-12,12,704,1.7%,21.6
2025-08-13,10,628,1.59%,24.4
2025-08-14,12,694,1.73%,23.2
2025-08-15,8,549,1.46%,26.9
2025-08-16,9,522,1.72%,24.8
2025-08-17,20,672,2.98%,27.2
2025-08-18,15,682,2.2%,22.6
2025-08-19,9,686,1.31%,22.5
2025-08-20,17,966,1.76%,23
2025-08-21,8,814,0.98%,21.6
2025-08-22,19,613,3.1%,26
2025-08-23,13,681,1.91%,29.2
2025-08-24,4,603,0.66%,25.9
2025-08-25,18,713,2.52%,24.7
2025-08-26,12,829,1.45%,26.9
2025-08-27,19,638,2.98%,25.4
2025-08-28,15,653,2.3%,22.6
2025-08-29,7,904,0.77%,26.8
2025-08-30,11,649,1.69%,27.2
2025-08-31,6,680,0.88%,28.8
2025-09-01,15,875,1.71%,29.1
2025-09-02,19,751,2.53%,25.9
2025-09-03,18,760,2.37%,23.5
2025-09-04,16,943,1.7%,27.6
2025-09-05,14,726,1.93%,24.8
2025-09-06,10,996,1%,22
2025-09-07,19,809,2.35%,26.5
2025-09-08,21,897,2.34%,22.2
2025-09-09,16,887,1.8%,23.1
2025-09-10,17,976,1.74%,21.9
2025-09-11,13,1010,1.29%,15.4
2025-09-12,19,679,2.8%,13.9
2025-09-13,2,587,0.34%,13.6
2025-09-14,14,796,1.76%,9.2
2025-09-15,15,649,2.31%,9.4
2025-09-16,25,771,3.24%,12.2
2025-09-17,10,687,1.46%,9.8
2025-09-18,19,630,3.02%,10.1
2025-09-19,13,701,1.85%,12.5
2025-09-20,10,555,1.8%,12.1
2025-09-21,11,866,1.27%,8.9
2025-09-22,7,772,0.91%,12
2025-09-23,11,606,1.82%,9.4
2025-09-24,11,713,1.54%,9.3
2025-09-25,16,732,2.19%,11.9
2025-09-26,10,619,1.62%,10.3
2025-09-27,6,495,1.21%,11.8
2025-09-28,13,859,1.51%,10.8
2025-09-29,14,704,1.99%,10
2025-09-30,13,659,1.97%,9.8
2025-10-01,18,789,2.28%,11.2
2025-10-02,17,664,2.56%,9.2
2025-10-03,11,680,1.62%,14.2
2025-10-04,13,602,2.16%,12.8
2025-10-05,17,760,2.24%,8.7
2025-10-06,17,586,2.9%,9
2025-10-07,11,639,1.72%,11
2025-10-08,17,615,2.76%,9.4
2025-10-09,11,637,1.73%,9.7
2025-10-10,7,577,1.21%,13.3
2025-10-11,6,465,1.29%,13.6
2025-10-12,7,626,1.12%,9.2
2025-10-13,19,589,3.23%,12.2
2025-10-14,12,590,2.03%,9.8
2025-10-15,18,576,3.12%,9.8
2025-10-16,7,585,1.2%,14.1
2025-10-17,4,531,0.75%,15.4
2025-10-18,8,414,1.93%,11.8
2025-10-19,9,685,1.31%,11.6
2025-10-20,12,537,2.23%,9.9
2025-10-21,12,497,2.41%,11.3
2025-10-22,15,591,2.54%,13.9
2025-10-23,22,569,3.87%,11.4
2025-10-24,14,490,2.86%,9.8
2025-10-25,6,593,1.01%,11.7
2025-10-26,11,617,1.78%,10.2
2025-10-27,13,586,2.22%,10.3
2025-10-28,16,620,2.58%,13.2
2025-10-29,11,596,1.85%,9.7
2025-10-30,18,541,3.33%,9.9
2025-10-31,5,506,0.99%,14.1
2025-11-01,10,359,2.79%,11.2
2025-11-02,11,625,1.76%,8.6
2025-11-03,10,466,2.15%,9.6
2025-11-04,10,585,1.71%,13.6
2025-11-05,7,600,1.17%,13.2
2025-11-06,5,666,0.75%,12.4
2025-11-07,6,485,1.24%,9.8
2025-11-08,6,427,1.41%,10.6
2025-11-09,11,701,1.57%,12.2
2025-11-10,13,582,2.23%,9.9
2025-11-11,12,515,2.33%,9.3
2025-11-12,12,552,2.17%,14.8
2025-11-13,12,493,2.43%,12.1
2025-11-14,3,433,0.69%,12.4
2025-11-15,8,454,1.76%,14.8
2025-11-16,12,538,2.23%,9.7
2025-11-17,12,485,2.47%,9.3
2025-11-18,7,592,1.18%,14.6
2025-11-19,9,529,1.7%,11.7
2025-11-20,7,475,1.47%,11
2025-11-21,10,516,1.94%,15.3
2025-11-22,8,394,2.03%,10.3
2025-11-23,7,449,1.56%,11.2
2025-11-24,16,625,2.56%,14.3
2025-11-25,13,557,2.33%,12.8
2025-11-26,9,545,1.65%,13.1
2025-11-27,7,549,1.28%,15.4
2025-11-28,5,518,0.97%,13.2
2025-11-29,11,440,2.5%,10.9
2025-11-30,11,559,1.97%,15.7
2025-12-01,12,618,1.94%,9.6
2025-12-02,13,619,2.1%,9.7
2025-12-03,14,646,2.17%,12.9
2025-12-04,6,691,0.87%,13.5
2025-12-05,5,577,0.87%,11.4
2025-12-06,15,581,2.58%,16.3
2025-12-07,19,698,2.72%,9.9
2025-12-08,11,745,1.48%,12.1
2025-12-09,19,730,2.6%,14
2025-12-10,17,642,2.65%,8.2
2025-12-11,12,633,1.9%,9.3
2025-12-12,5,625,0.8%,14.7
2025-12-13,13,475,2.74%,11.8
2025-12-14,24,740,3.24%,8.5
2025-12-15,18,745,2.42%,12.7
2025-12-16,14,689,2.03%,11.3
2025-12-17,10,582,1.72%,7.5
2025-12-18,12,702,1.71%,12.7
2025-12-19,10,552,1.81%,9.4
2025-12-20,6,483,1.24%,9.3
2025-12-21,16,682,2.35%,12.8
2025-12-22,19,612,3.1%,9.5
2025-12-23,7,538,1.3%,12.3
2025-12-24,6,502,1.2%,18.4
2025-12-25,17,509,3.34%,10.1
2025-12-26,11,494,2.23%,9
2025-12-27,11,592,1.86%,13.9
2025-12-28,15,662,2.27%,10
2025-12-29,13,587,2.21%,11
2025-12-30,14,643,2.18%,16.5
2025-12-31,7,503,1.39%,12.7
2026-01-01,11,541,2.03%,11.1
2026-01-02,6,632,0.95%,14.1
2026-01-03,10,488,2.05%,8.9
2026-01-04,10,732,1.37%,12.5
2026-01-05,15,729,2.06%,12.4
2026-01-06,10,604,1.66%,9.1
2026-01-07,11,745,1.48%,9
2026-01-08,12,869,1.38%,11.8
2026-01-09,18,841,2.14%,8.2
2026-01-10,11,705,1.56%,7.8
2026-01-11,18,751,2.4%,10.4
2026-01-12,16,870,1.84%,8.4
2026-01-13,15,784,1.91%,10
2026-01-14,19,799,2.38%,11
2026-01-15,17,717,2.37%,8.8
2026-01-16,15,643,2.33%,9.3
2026-01-17,9,653,1.38%,13
2026-01-18,15,718,2.09%,8.2
2026-01-19,20,724,2.76%,10.1
2026-01-20,21,738,2.85%,12.2
2026-01-21,12,810,1.48%,11.1
2026-01-22,19,1301,1.46%,7.5
2026-01-23,12,736,1.63%,12.6
2026-01-24,18,668,2.69%,10.2
2026-01-25,17,731,2.33%,8.4
2026-01-26,16,927,1.73%,12.4
2026-01-27,31,856,3.62%,10.7
2026-01-28,17,885,1.92%,9.2
2026-01-29,14,840,1.67%,12.8
2026-01-30,12,842,1.43%,10.4